category_shopping,category_culture,category_transportation,category_car,category_food,category_education,category_housing_communication,category_travel,category_medical,category_financial_insurance,category_others,card_name
0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,신한카드 Mr.Life
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,KB국민 My WE:SH 카드
0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,삼성카드 taptap O
0.375,0.0,0.125,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,BC 바로 클리어 플러스
0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.36363636363636365,0.0,0.0,0.09090909090909091,삼성카드 & MILEAGE PLATINUM (스카이패스)
0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.23076923076923078,신한카드 Deep Dream
0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,LOCA 365 카드
0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,올바른 FLEX 카드
0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,LOCA LIKIT 1.2
0.2,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,다담카드
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,디지로카 London
0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,현대카드 M BOOST
0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,신한카드 Deep Oil
0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,BC 바로 에어 플러스 스카이패스
0.3,0.0,0.1,0.1,0.1,0.0,0.0,0.4,0.0,0.0,0.0,JADE Classic
0.4,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,IBK무민카드(신용)
0.25,0.0,0.125,0.0,0.25,0.0,0.125,0.125,0.0,0.0,0.125,삼성 iD ON 카드
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,하나 스카이패스 아멕스 플래티늄 카드
0.25,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.0,0.0625,Easy all 티타늄카드
0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,신한카드 Deep Dream Platinum+
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,BeV V카드(스카이패스형)
0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,신한카드 Hi-Point
0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,현대카드Z family
0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.13043478260869565,현대카드ZERO Edition3(할인형)
0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,네이버 현대카드
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,카드의정석 EVERY MILE SKYPASS
0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,마일앤조이카드(대한항공)
0.5555555555555556,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,始發(시발)카드
0.23076923076923078,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.0,굿데이올림카드
0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,taptap DIGITAL
0.3076923076923077,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,올바른 NEW HAVE카드
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.08333333333333333,Mile1 하나카드
0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,the Green Edition2
0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,청춘대로 톡톡카드
