card_type,card_company,card_name,card_benefit_type,card_img,card_top_category,card_category,card_required,card_domestic,card_abroad,category_shopping,category_culture,category_transportation,category_car,category_food,category_education,category_housing_communication,category_travel,category_medical,category_financial_insurance,category_others
신용,신한카드,신한카드 Mr.Life,할인형,https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,"공과금, 마트/편의점, 푸드","공과금/렌탈, 교통, 기타, 마트/편의점, 병원/약국, 쇼핑, 주유, 통신, 푸드",300000,0,15000,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0
신용,KB국민카드,KB국민 My WE:SH 카드,할인형,https://api.card-gorilla.com:8080/storage/card/2441/card_img/28283/2441card.png,"간편결제, 푸드, 선택형","간편결제, 교통, 기타, 레저/스포츠, 마트/편의점, 뷰티/피트니스, 영화/문화, 카페/디저트, 통신, 푸드",400000,15000,15000,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
신용,삼성카드,삼성카드 taptap O,할인형,https://api.card-gorilla.com:8080/storage/card/51/card_img/27707/51card.png,"카페, 대중교통, 영화","교통, 기타, 마트/편의점, 뷰티/피트니스, 쇼핑, 영화/문화, 카페/디저트, 통신",300000,10000,10000,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
신용,BC 바로카드,BC 바로 클리어 플러스,할인형,https://api.card-gorilla.com:8080/storage/card/2346/card_img/32523/2346card.png,"푸드, 온라인쇼핑, 통신","교통, 기타, 마트/편의점, 뷰티/피트니스, 쇼핑, 통신, 푸드, 프리미엄",150000,0,0,0.375,0.0,0.125,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
신용,삼성카드,삼성카드 & MILEAGE PLATINUM (스카이패스),마일리지형,https://api.card-gorilla.com:8080/storage/card/49/card_img/27705/49card.png,"대한항공, 카페, 공항라운지","공항라운지/PP, 교통, 기타, 마트/편의점, 무실적, 쇼핑, 주유, 카페/디저트, 항공마일리지",0,47000,49000,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.36363636363636365,0.0,0.0,0.09090909090909091
신용,신한카드,신한카드 Deep Dream,포인트형,https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,"적립, 생활, 생활","교통, 기타, 마트/편의점, 모든가맹점, 무실적, 뷰티/피트니스, 쇼핑, 영화/문화, 주유, 카페/디저트, 통신, 해외",0,0,8000,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.23076923076923078
신용,롯데카드,LOCA 365 카드,할인형,https://api.card-gorilla.com:8080/storage/card/2330/card_img/24131/2330card.png,"공과금/렌탈, 생활, 디지털구독","공과금/렌탈, 교육/육아, 교통, 금융, 기타, 통신, 푸드",500000,20000,20000,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111
신용,NH농협카드,올바른 FLEX 카드,할인형,https://api.card-gorilla.com:8080/storage/card/666/card_img/21431/666card.png,"카페, 디지털구독, 영화","간편결제, 공항라운지/PP, 교통, 기타, 마트/편의점, 쇼핑, 영화/문화, 카페/디저트, 통신, 푸드",300000,10000,12000,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
신용,롯데카드,LOCA LIKIT 1.2,할인형,https://api.card-gorilla.com:8080/storage/card/2261/card_img/21011/2261card.png,"모든가맹점, 온라인쇼핑, ","기타, 모든가맹점, 무실적, 쇼핑, 해외",0,10000,10000,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111
