card_type,card_company,card_name,card_benefit_type,card_img,card_top_category,card_category,card_required,card_domestic,card_abroad,communication,shopping,culture,transportation,food,education,utilities,aviation,medical,others
신용,신한카드,마이 홈플러스 신한카드,포인트형,https://api.card-gorilla.com:8080/storage/card/478/card_img/21168/478card.png,"대형마트, 기타, 영화","기타, 마트/편의점, 쇼핑, 영화/문화",0,12000,15000,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신용,신한카드,메가쇼핑 신한카드,포인트형,https://api.card-gorilla.com:8080/storage/card/905/card_img/21639/905card.png,"마트/편의점, 모든가맹점, 교통","교통, 기타, 마트/편의점, 무실적, 주유",0,12000,15000,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
신용,하나카드,모두의 쇼핑,포인트형,https://api.card-gorilla.com:8080/storage/card/587/card_img/21344/587card.png,"온라인쇼핑, 쇼핑, 아울렛","마트/편의점, 쇼핑",300000,15000,15000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신용,KB국민카드,몰테일 KB국민카드,포인트형,https://api.card-gorilla.com:8080/storage/card/1382/card_img/20761/1382card.png,"쇼핑, 모든가맹점, 해외","기타, 무실적, 쇼핑, 여행/숙박, 해외",0,12000,12000,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
신용,현대카드,산림조합-현대카드M(청구할인형),포인트형,https://api.card-gorilla.com:8080/storage/card/2199/card_img/21813/2199card.png,"제휴/PLCC, 적립, 적립","마트/편의점, 무실적, 자동차/하이패스, 주유, 해외, 유의사항",0,0,10000,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7
신용,씨티카드,신세계 씨티 클리어 카드,할인형,https://api.card-gorilla.com:8080/storage/card/463/card_img/20984/463card.png,"통신, 푸드, 쇼핑","교통, 기타, 마트/편의점, 뷰티/피트니스, 쇼핑, 영화/문화, 통신, 푸드",200000,4000,5000,0.2,0.3,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
신용,신한카드,신세계사이먼 프리미엄 아울렛 신한카드,할인형,https://api.card-gorilla.com:8080/storage/card/2496/card_img/28549/2496card.png,"아울렛, 기타, 주유소","마트/편의점, 멤버십포인트, 쇼핑, 주유",400000,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
신용,신한카드,신한카드 All Pass,할인형,https://api.card-gorilla.com:8080/storage/card/31/card_img/20113/31card.png,"고속버스, 교통, 카페/디저트","교통, 마트/편의점, 영화/문화, 카페/디저트",300000,0,10000,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
신용,신한카드,신한카드 봄(도구리),할인형,https://api.card-gorilla.com:8080/storage/card/2596/card_img/31068/2596card.png,"캐시백, 대중교통, 디지털구독","교통, 기타, 멤버십포인트, 모든가맹점",0,0,0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
신용,신한카드,신한카드 플리,할인형,https://api.card-gorilla.com:8080/storage/card/2371/card_img/31359/2371card_2.png,"할인, 해외, 기타","모든가맹점, 쇼핑, 해외",0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
